,location,sourceelementkey,latitude,longitude
231,"{'type': 'Point', 'coordinates': [-122.35347203, 47.62448372]}",11770,47.62448372,-122.35347203
232,"{'type': 'Point', 'coordinates': [-122.33783456, 47.62446799]}",11778,47.62446799,-122.33783456
233,"{'type': 'Point', 'coordinates': [-122.33659908, 47.62447169]}",11782,47.62447169,-122.33659908
234,"{'type': 'Point', 'coordinates': [-122.33106904, 47.62432312]}",11785,47.62432312,-122.33106904
235,"{'type': 'Point', 'coordinates': [-122.33108562, 47.6242189]}",11786,47.6242189,-122.33108562
236,"{'type': 'Point', 'coordinates': [-122.32312547, 47.60869907]}",11865,47.60869907,-122.32312547
237,"{'type': 'Point', 'coordinates': [-122.32295988, 47.60872645]}",11866,47.60872645,-122.32295988
238,"{'type': 'Point', 'coordinates': [-122.32377268, 47.60941799]}",11869,47.60941799,-122.32377268
239,"{'type': 'Point', 'coordinates': [-122.32361273, 47.60948806]}",11870,47.60948806,-122.32361273
240,"{'type': 'Point', 'coordinates': [-122.32444208, 47.61015018]}",11873,47.61015018,-122.32444208
241,"{'type': 'Point', 'coordinates': [-122.32429488, 47.61021335]}",11874,47.61021335,-122.32429488
242,"{'type': 'Point', 'coordinates': [-122.32832119, 47.61459874]}",11878,47.61459874,-122.32832119
243,"{'type': 'Point', 'coordinates': [-122.33309008, 47.61911051]}",11881,47.61911051,-122.33309008
244,"{'type': 'Point', 'coordinates': [-122.33286288, 47.61908923]}",11882,47.61908923,-122.33286288
245,"{'type': 'Point', 'coordinates': [-122.33311897, 47.59388824]}",12034,47.59388824,-122.33311897
246,"{'type': 'Point', 'coordinates': [-122.3350486, 47.60242211]}",12237,47.60242211,-122.3350486
247,"{'type': 'Point', 'coordinates': [-122.33493291, 47.60244125]}",12238,47.60244125,-122.33493291
248,"{'type': 'Point', 'coordinates': [-122.35665021, 47.61918294]}",12282,47.61918294,-122.35665021
249,"{'type': 'Point', 'coordinates': [-122.35680987, 47.62267511]}",12285,47.62267511,-122.35680987
250,"{'type': 'Point', 'coordinates': [-122.35663954, 47.62267722]}",12286,47.62267722,-122.35663954
251,"{'type': 'Point', 'coordinates': [-122.35681114, 47.62505307]}",12289,47.62505307,-122.35681114
252,"{'type': 'Point', 'coordinates': [-122.35660058, 47.62501138]}",12290,47.62501138,-122.35660058
253,"{'type': 'Point', 'coordinates': [-122.2849609, 47.55747782]}",12401,47.55747782,-122.2849609
254,"{'type': 'Point', 'coordinates': [-122.28470967, 47.55746407]}",12402,47.55746407,-122.28470967
255,"{'type': 'Point', 'coordinates': [-122.34168168, 47.62327882]}",12537,47.62327882,-122.34168168
256,"{'type': 'Point', 'coordinates': [-122.34167861, 47.62315819]}",12538,47.62315819,-122.34167861
257,"{'type': 'Point', 'coordinates': [-122.33778176, 47.62326711]}",12541,47.62326711,-122.33778176
258,"{'type': 'Point', 'coordinates': [-122.3377827, 47.62314648]}",12542,47.62314648,-122.3377827
259,"{'type': 'Point', 'coordinates': [-122.33509668, 47.6232647]}",12545,47.6232647,-122.33509668
260,"{'type': 'Point', 'coordinates': [-122.33511002, 47.62313865]}",12546,47.62313865,-122.33511002
261,"{'type': 'Point', 'coordinates': [-122.33362709, 47.62318464]}",12549,47.62318464,-122.33362709
262,"{'type': 'Point', 'coordinates': [-122.3336516, 47.62306687]}",12550,47.62306687,-122.3336516
263,"{'type': 'Point', 'coordinates': [-122.31746344, 47.6769156]}",12601,47.6769156,-122.31746344
264,"{'type': 'Point', 'coordinates': [-122.35349227, 47.62550548]}",12673,47.62550548,-122.35349227
265,"{'type': 'Point', 'coordinates': [-122.33344568, 47.62507204]}",12682,47.62507204,-122.33344568
266,"{'type': 'Point', 'coordinates': [-122.32969155, 47.62515553]}",12685,47.62515553,-122.32969155
