,blockfacename,location,paidparkingarea,paidparkingsubarea,parkingcategory,parkingspacecount,parkingtimelimitcategory,sideofstreet,sourceelementkey,latitude,longitude
71,4TH AVE BETWEEN 4TH AVE S AND DILLING WAY,"{'type': 'Point', 'coordinates': [-122.32908971, 47.60205815]}",Pioneer Square,Edge,Paid Parking,3,120.0,NE,6166,47.60205815,-122.32908971
72,4TH AVE BETWEEN VINE ST AND CEDAR ST,"{'type': 'Point', 'coordinates': [-122.3476597, 47.61746189]}",Belltown,North,Paid Parking,8,240.0,SW,6197,47.61746189,-122.3476597
73,4TH AVE BETWEEN VINE ST AND CEDAR ST,"{'type': 'Point', 'coordinates': [-122.34746383, 47.61757189]}",Belltown,North,Paid Parking,8,240.0,NE,6198,47.61757189,-122.34746383
74,5TH AVE BETWEEN COLUMBIA ST AND MARION ST,"{'type': 'Point', 'coordinates': [-122.3307428, 47.60551815]}",Commercial Core,Financial,Paid Parking,9,120.0,NE,7246,47.60551815,-122.3307428
75,5TH AVE BETWEEN MARION ST AND MADISON ST,"{'type': 'Point', 'coordinates': [-122.33137792, 47.60621283]}",Commercial Core,Financial,Paid Parking,8,120.0,NE,7250,47.60621283,-122.33137792
76,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,"{'type': 'Point', 'coordinates': [-122.33988424, 47.61405613]}",Belltown,South,Paid Parking,11,120.0,SW,7257,47.61405613,-122.33988424
77,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,"{'type': 'Point', 'coordinates': [-122.33974319, 47.61416938]}",Belltown,South,Paid Parking,13,120.0,NE,7258,47.61416938,-122.33974319
78,5TH AVE BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.34119978, 47.61481567]}",Belltown,South,Paid Parking,10,120.0,SW,7261,47.61481567,-122.34119978
79,5TH AVE BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.34104117, 47.61494039]}",Belltown,South,Paid Parking,7,120.0,NE,7262,47.61494039,-122.34104117
80,5TH AVE BETWEEN TAYLOR AVE AND DENNY WAY,"{'type': 'Point', 'coordinates': [-122.34704539, 47.61827711]}",Belltown,North,Paid Parking,8,240.0,SW,7265,47.61827711,-122.34704539
81,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,"{'type': 'Point', 'coordinates': [-122.32777643, 47.59669256]}",Chinatown/ID,Edge,Paid Parking,10,120.0,W,7397,47.59669256,-122.32777643
82,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST,"{'type': 'Point', 'coordinates': [-122.32758192, 47.59670172]}",Chinatown/ID,Edge,Paid Parking,6,120.0,E,7398,47.59670172,-122.32758192
83,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,"{'type': 'Point', 'coordinates': [-122.33317222, 47.60961883]}",Commercial Core,Retail,Paid Parking,3,120.0,SW,7989,47.60961883,-122.33317222
84,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,"{'type': 'Point', 'coordinates': [-122.33302531, 47.60968746]}",Commercial Core,Retail,Paid Parking,4,120.0,NE,7990,47.60968746,-122.33302531
85,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.33798426, 47.61409047]}",Denny Triangle,South,Paid Parking,5,120.0,SW,7997,47.61409047,-122.33798426
86,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.33800086, 47.61430793]}",Denny Triangle,South,Paid Parking,5,120.0,NE,7998,47.61430793,-122.33800086
87,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,"{'type': 'Point', 'coordinates': [-122.33904518, 47.61470705]}",Denny Triangle,South,Paid Parking,10,120.0,SW,8001,47.61470705,-122.33904518
88,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,"{'type': 'Point', 'coordinates': [-122.3388561, 47.61482832]}",Denny Triangle,South,Paid Parking,3,30.0,NE,8002,47.61482832,-122.3388561
89,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.34032614, 47.6154538]}",Denny Triangle,North,Paid Parking,8,240.0,SW,8005,47.6154538,-122.34032614
